# Generated with calc_global_raceline.py
#
# iter_count: 139
# Laptime: 108.68526373056437
# timestamp: 18:06:24 - 19.12.2024
# smooth_track hash: ba97271242142291903cfe91587b97689121306570b595991d9239e6
# git hash: ebf1ce4a116e4cae143bcffdf68bfeefa10afbff    ||    autonoma pitlane tunnel trackbounds
#
# execution_settings:
#     debugging_methods: False
#     raceline_gradient_key: 'tire_util_rl'
#     direction: 'counterclock'
#     simple_output: False
#     output_both: False
#     n_threads: 'auto'
# paths:
#     track_name: 'Yas_Marina'
#     run_specific_name: 'raceline_unsmoothed'
# cgr:
#     v_guess: 0.2
#     gg_scale: 1.0
#     w_jerk_x: 0.01
#     w_jerk_y: 0.03
#     w_jerk_y_gain: 0.0
#     w_jerk_xy: 0.015
#     w_kappa: 0.1
#     w_kappa_gain_brake: 0.0
#     w_kappa_gain_throttle: 0.0
#     v_max: 100
#     track_name: 'Yas_Marina_unsmoothed.csv'
#     raceline_name: 'Yas_Marina_raceline_unsmoothed'
#     vehicle_name: 'EAV24'
#     safety_distance_left: 1.0
#     safety_distance_right: 1.0
#     gg_mode: 'diamond'
#     warm_start: False
#     save_warm_start_ref: True
#     warm_start_raceline_save: 'Yas_Marina_raceline_unsmoothed'
#     warm_start_raceline: 'Yas_Marina_raceline_unsmoothed'
#     s_based_limits: False
#     use_grip_map: False
#     neglect_w_omega_y: True
#     neglect_w_omega_x: True
#     neglect_euler: True
#     neglect_centrifugal: True
#     neglect_w_dot: False
#     neglect_V_omega: False
#     w_T: 1.0
#     RK4_steps: 1
#     sol_opts:
#         ipopt.max_iter: 3000
#         ipopt.hessian_approximation: 'limited-memory'
#         ipopt.line_search_method: 'cg-penalty'
#         ipopt.acceptable_tol: 0.1
#         ipopt.acceptable_dual_inf_tol: 0.1
#         ipopt.constr_viol_tol: 0.001
#     vehicle_params:
#         m: 742.0
#         rho: 1.225
#         C_D_A: 1.2
#         C_Lf_A: 1.68
#         C_Lr_A: 2.23
#         h: 0.287
#         w: 2.971
#         a: 1.724
#         b: 1.247
#         T: 1.5815
#         epsilon: 0.5
#         gamma: 1
#         P_max: 357000
#         delta_max: 0.342
#         v_max: 90
#         total_width: 1.93
#         total_length: 4.9
#         ax_machine_limits: [5.0                                                                , 10.0       , 13.0     , 10.0     , 6.0      , 4.0       , 2.2       , 0.3       , 0.0       , 0.0]
#         ax_max_scale: 1.0
#         ax_min_scale: 1.0
#         ay_scale: 1.0
#         gg_exponent_ax_pos: 1.3
#         gg_exponent_ax_neg: 1.3
#     tire_params:
#         p_Cx_1: 2.0
#         p_Dx_1: 1.7168
#         p_Dx_2: -0.289
#         p_Ex_1: 0.6975
#         p_Kx_1: 63.75
#         p_Kx_3: 0.2891
#         lambda_mu_x: 0.93
#         p_Cy_1: 1.603
#         p_Dy_1: 1.654
#         p_Dy_2: -0.1783
#         p_Ey_1: -1.409
#         p_Ky_1: -53.05
#         p_Ky_2: 4.1265
#         lambda_mu_y: 0.84
#         N_0: 3114
#         N_max: 20000
#         kappa_max: 1.5
#         lambda_max: 1.6
# p_t:
#     visualize: True
#     processing_method: '3d_track_bounds_to_3d'
#     step_size: 1.0
#     ignore_banking: False
#     weights:
#         w_c: 0.01
#         w_l: 10.0
#         w_r: 10.0
#         w_theta: 10.0
#         w_mu: 1.0
#         w_phi: 0.5
#         w_nl: 1e-05
#         w_nr: 1e-05
# pp_tb_rl:
#     visualize: True
#     trackwidth_max: 24
#     N: 12001
#     h: 1e-06
#     poly_fit_params_rl:
#         stepsize: 0.25
#         num_steps: 24001
#         convergence_help_interp_linear_interp: False
#         interp_density: 100000
#         segment_0:
#             start: 0
#             poly_order: 2
#             poly_order_z: 2
#             min_num_window_nodes: 4
#             window_length: 2
x_rl_m                                                                                           , y_rl_m     , z_rl_m   , v_rl_mps , n_rl_m   , chi_rl_rad, ax_rl_mps2, ay_rl_mps2, jx_rl_mps3, jy_rl_mps3, tire_util_rl, s_ref_rl_m , x_ref_rl_m , y_ref_rl_m , z_ref_rl_m, theta_ref_rl_rad, mu_ref_rl_rad, phi_ref_rl_rad, dtheta_ref_rl_radpm, dmu_ref_rl_radpm, dphi_ref_rl_radpm, w_tr_right_ref_rl_m, w_tr_left_ref_rl_m, omega_x_ref_rl_radpm, omega_y_ref_rl_radpm, omega_z_ref_rl_radpm, s_ref_cl_m , x_ref_cl_m , y_ref_cl_m , z_ref_cl_m, theta_ref_cl_rad, mu_ref_cl_rad, phi_ref_cl_rad, dtheta_ref_cl_radpm, dmu_ref_cl_radpm, dphi_ref_cl_radpm, w_tr_right_ref_cl_m, w_tr_left_ref_cl_m, omega_x_ref_cl_radpm, omega_y_ref_cl_radpm, omega_z_ref_cl_radpm, tb_left_x_ref_rl_m, tb_left_y_ref_rl_m, tb_left_z_ref_rl_m, tb_right_x_ref_rl_m, tb_right_y_ref_rl_m, tb_right_z_ref_rl_m
-23.081853                                                                                       , -117.745332, 2.901674 , 57.066110, -0.500521, 0.003753  , 2.728138  , -0.959674 , -0.584551 , -1.976404 , 0.090383    , 9.999984   , -23.160235 , -117.251145, 2.889111  , 0.157286        , 0.000420     , -0.025103     , -0.000289          , -0.000186       , -0.000002        , -9.306800          , 5.087253          , -0.000002           , -0.000178           , -0.000294           , 4.999571   , -27.599171 , -120.009201, 2.944084  , 0.140179        , 0.000451     , -0.025111     , -0.000009          , 0.000516        , -0.000005        , -7.194303          , 7.197688          , -0.000005           , 0.000516            , 0.000004            , -23.956896        , -112.228280       , 2.761419          , -21.702795         , -126.440151        , 3.122713
-22.094912                                                                                       , -117.585157, 2.901249 , 57.113801, -0.496768, 0.003755  , 2.717900  , -0.994288 , -0.560623 , -1.969121 , 0.091300    , 10.999982  , -22.172557 , -117.094653, 2.888779  , 0.156989        , 0.000248     , -0.025105     , -0.000306          , -0.000157       , -0.000002        , -9.323651          , 5.070324          , -0.000002           , -0.000149           , -0.000309           , 5.499528   , -27.104118 , -119.939348, 2.943798  , 0.140175        , 0.000684     , -0.025113     , -0.000008          , 0.000417        , -0.000004        , -7.194268          , 7.197722          , -0.000004           , 0.000417            , 0.000003            , -22.965056        , -112.088264       , 2.761503          , -20.715257         , -126.300736        , 3.122822
-21.107928                                                                                       , -117.425280, 2.900976 , 57.161275, -0.493011, 0.003761  , 2.708090  , -1.028745 , -0.527200 , -1.961476 , 0.092806    , 11.999980  , -21.184832 , -116.938462, 2.888600  , 0.156676        , 0.000119     , -0.025106     , -0.000320          , -0.000101       , -0.000001        , -9.340196          , 5.053701          , -0.000001           , -0.000093           , -0.000322           , 5.999485   , -26.609065 , -119.869496, 2.943410  , 0.140172        , 0.000852     , -0.025114     , -0.000004          , 0.000253        , 0.000000         , -7.194230          , 7.197759          , 0.000000            , 0.000253            , 0.000003            , -21.973157        , -111.948237       , 2.761734          , -19.727859         , -126.161342        , 3.123071
-20.120898                                                                                       , -117.265713, 2.900803 , 57.208544, -0.489247, 0.003768  , 2.698872  , -1.063041 , -0.492783 , -1.953466 , 0.094525    , 12.999979  , -20.197057 , -116.782586, 2.888520  , 0.156351        , 0.000049     , -0.025107     , -0.000330          , -0.000039       , -0.000000        , -9.356425          , 5.037398          , -0.000000           , -0.000030           , -0.000331           , 6.499442   , -26.114012 , -119.799646, 2.942961  , 0.140171        , 0.000930     , -0.025114     , -0.000000          , 0.000060        , -0.000000        , -7.194192          , 7.197795          , -0.000000           , 0.000060            , 0.000001            , -20.981213        , -111.808203       , 2.762060          , -18.740572         , -126.021967        , 3.123406
-19.133819                                                                                       , -117.106465, 2.900668 , 57.255618, -0.485476, 0.003774  , 2.690263  , -1.097168 , -0.463079 , -1.945092 , 0.096164    , 13.999977  , -19.209231 , -116.627036, 2.888481  , 0.156016        , 0.000040     , -0.025107     , -0.000341          , 0.000019        , 0.000000         , -9.372326          , 5.021428          , 0.000000            , 0.000028            , -0.000340           , 6.999399   , -25.618958 , -119.729796, 2.942497  , 0.140171        , 0.000911     , -0.025114     , 0.000003           , -0.000137       , 0.000001         , -7.194153          , 7.197831          , 0.000001            , -0.000137           , -0.000001           , -19.989236        , -111.668161       , 2.762421          , -17.753377         , -125.882609        , 3.123767
-18.146691                                                                                       , -116.947549, 2.900517 , 57.302507, -0.481700, 0.003780  , 2.682180  , -1.131120 , -0.441384 , -1.936352 , 0.097543    , 14.999975  , -18.221351 , -116.471823, 2.888424  , 0.155669        , 0.000081     , -0.025107     , -0.000352          , 0.000064        , 0.000001         , -9.387887          , 5.005800          , 0.000001            , 0.000073            , -0.000351           , 7.499356   , -25.123905 , -119.659945, 2.942067  , 0.140173        , 0.000795     , -0.025113     , 0.000005           , -0.000323       , 0.000004         , -7.194115          , 7.197866          , 0.000004            , -0.000323           , -0.000003           , -18.997221        , -111.528114       , 2.762759          , -16.766283         , -125.743266        , 3.124097
-17.159511                                                                                       , -116.788975, 2.900303 , 57.349221, -0.477918, 0.003787  , 2.674482  , -1.164893 , -0.429912 , -1.927246 , 0.098543    , 15.999974  , -17.233417 , -116.316959, 2.888306  , 0.155310        , 0.000159     , -0.025106     , -0.000365          , 0.000092        , 0.000001         , -9.403094          , 4.990523          , 0.000001            , 0.000102            , -0.000363           , 7.999313   , -24.628852 , -119.590093, 2.941716  , 0.140177        , 0.000597     , -0.025111     , 0.000009           , -0.000472       , 0.000003         , -7.194076          , 7.197900          , 0.000003            , -0.000472           , -0.000003           , -18.005161        , -111.388060       , 2.763029          , -15.779305         , -125.603940        , 3.124353
-16.172280                                                                                       , -116.630754, 2.900001 , 57.395764, -0.474127, 0.003797  , 2.666990  , -1.198479 , -0.429838 , -1.917765 , 0.099051    , 16.999972  , -16.245427 , -116.162455, 2.888099  , 0.154939        , 0.000256     , -0.025105     , -0.000377          , 0.000101        , 0.000001         , -9.417933          , 4.975609          , 0.000001            , 0.000110            , -0.000375           , 8.499270   , -24.133799 , -119.520238, 2.941479  , 0.140182        , 0.000342     , -0.025109     , 0.000010           , -0.000548       , 0.000004         , -7.194040          , 7.197932          , 0.000004            , -0.000549           , -0.000004           , -17.013052        , -111.248003       , 2.763201          , -14.792451         , -125.464629        , 3.124509
-15.184994                                                                                       , -116.472895, 2.899601 , 57.442138, -0.470325, 0.003807  , 2.659505  , -1.231872 , -0.440341 , -1.907911 , 0.099035    , 17.999970  , -15.257378 , -116.008323, 2.887795  , 0.154558        , 0.000350     , -0.025104     , -0.000385          , 0.000088        , 0.000001         , -9.432393          , 4.961069          , 0.000001            , 0.000097            , -0.000383           , 8.999228   , -23.638746 , -119.450382, 2.941377  , 0.140186        , 0.000071     , -0.025107     , 0.000009           , -0.000535       , 0.000005         , -7.194005          , 7.197961          , 0.000005            , -0.000535           , -0.000005           , -16.020904        , -111.107942       , 2.763266          , -13.805701         , -125.325330        , 3.124559
-14.197650                                                                                       , -116.315406, 2.899116 , 57.488344, -0.466515, 0.003815  , 2.651844  , -1.265068 , -0.457804 , -1.897686 , 0.098582    , 18.999969  , -14.269271 , -115.854571, 2.887406  , 0.154170        , 0.000422     , -0.025103     , -0.000390          , 0.000057        , 0.000000         , -9.446467          , 4.946912          , 0.000001            , 0.000066            , -0.000388           , 9.499185   , -23.143694 , -119.380523, 2.941404  , 0.140190        , -0.000172    , -0.025105     , 0.000006           , -0.000435       , 0.000004         , -7.193975          , 7.197989          , 0.000004            , -0.000435           , -0.000005           , -15.028732        , -110.967881       , 2.763236          , -12.819026         , -125.186040        , 3.124518
